Suscetiveis,Infectados,Recuperados
2.460354382325183e+18,136.75083214945124,0
2.4603543823093985e+18,137.2299743111538,15839901.204459924
2.460354382293559e+18,137.71069329552236,31735289.858055715
2.460354382277663e+18,138.19299355220176,47686348.48065817
2.460354382261712e+18,138.6768795391122,63693260.1066978
2.460354382245705e+18,139.16235572647616,79756208.28658482
2.460354382229642e+18,139.64942658472913,95875377.08673374
2.460354382213523e+18,140.13809659249748,112050951.09050883
2.4603543821973473e+18,140.6283702386276,128283115.39940372
2.4603543821811154e+18,141.1202520181184,144572055.63375163
2.4603543821648266e+18,141.61374643412861,160917957.93366715
2.4603543821484805e+18,142.10885798972322,177321008.9590355
2.4603543821320776e+18,142.60559120219403,193781395.89115456
2.4603543821156173e+18,143.10395059278017,210299306.43319067
2.460354382099099e+18,143.6039406886664,226874928.81086475
2.4603543820825236e+18,144.10556602711398,243508451.77361542
2.4603543820658903e+18,144.60883114919352,260200064.59503877
2.460354382049199e+18,145.11374060601207,276949957.0740468
2.4603543820324495e+18,145.6202989502899,293758319.5350535
2.460354382015641e+18,146.12851074259382,310625342.8288807
2.460354381998774e+18,146.63838054919654,327551218.3334168
2.460354381981848e+18,147.14991294629303,344536137.9547616
2.4603543819648635e+18,147.66311251788153,361580294.1281275
2.460354381947819e+18,148.17798384715366,378683879.81774604
2.460354381930715e+18,148.6945315271109,395847088.5180005
2.460354381913552e+18,149.21276016058613,413070114.2545604
2.4603543818963287e+18,149.73267435375098,430353151.58476716
2.4603543818790456e+18,150.25427872038202,447696395.5985117
2.4603543818617027e+18,150.7775778796574,465100041.91885805
2.460354381844299e+18,151.30257645390756,482564286.7024071
2.4603543818268344e+18,151.8292790751266,500089326.6404122
2.460354381809309e+18,152.3576903805736,517675358.95938665
2.460354381791723e+18,152.88781501271578,535322581.421705
2.4603543817740754e+18,153.4196576213963,553031192.3264544
2.460354381756367e+18,153.95322286381497,570801390.5102838
2.4603543817385964e+18,154.48851539778784,588633375.3474752
2.4603543817207644e+18,155.02553989285133,606527346.7512958
2.4603543817028705e+18,155.56430102129613,624483505.1743169
2.4603543816849147e+18,156.10480346485969,642502051.6095036
2.4603543816668964e+18,156.6470519056579,660583187.590259
2.460354381648815e+18,157.19105103060474,678727115.1909772
2.4603543816306714e+18,157.73680553821293,696934037.0283831
2.4603543816124646e+18,158.28432012946928,715204156.2618175
2.4603543815941944e+18,158.83359950773263,733537676.5935104
2.4603543815758607e+18,159.3846483832536,751934802.2693776
2.4603543815574636e+18,159.93747147547,770395738.0800802
2.460354381539003e+18,160.49207350836832,788920689.36155
2.460354381520478e+18,161.04845921041917,807509861.995507
2.460354381501889e+18,161.6066333121687,826163462.4096993
2.4603543814832353e+18,162.16660055083557,844881697.5786726
2.460354381464517e+18,162.72836566792532,863664775.0242659
2.460354381445734e+18,163.29193341389924,882512902.8166442
2.4603543814268856e+18,163.85730853868398,901426289.5742376
2.4603543814079724e+18,164.42449580344353,920405144.4650382
2.4603543813889935e+18,164.99349997106336,939449677.2067986
2.460354381369949e+18,165.56432580844097,958560098.0674951
2.460354381350839e+18,166.1369780864162,977736617.8657829
2.4603543813316623e+18,166.71146158453595,996979447.9720006
2.46035438131242e+18,167.28778108378862,1016288800.3083375
2.460354381293111e+18,167.86594137135964,1035664887.349548
2.4603543812737347e+18,168.44594723571578,1055107922.1230999
2.4603543812542915e+18,169.02780346894144,1074618118.209592
2.460354381234781e+18,169.6115148740441,1094195689.7440152
2.460354381215204e+18,170.19708625513468,1113840851.4158785
2.4603543811955584e+18,170.78452241483407,1133553818.469039
2.4603543811758454e+18,171.37382816902394,1153334806.703231
2.460354381156065e+18,171.96500833447274,1173184032.4741695
2.4603543811362156e+18,172.5580677312191,1193101712.6939263
2.4603543811162977e+18,173.15301117998376,1213088064.83101
2.460354381096312e+18,173.74984351464718,1233143306.9118845
2.460354381076257e+18,174.34856956464566,1253267657.5204558
2.4603543810561326e+18,174.94919416491092,1273461335.7987068
2.460354381035939e+18,175.55172215328804,1293724561.4470327
2.460354381015676e+18,176.15615837300973,1314057554.724864
2.460354380995343e+18,176.76250767009594,1334460536.4509878
2.4603543809749396e+18,177.37077489327237,1354933728.0038598
2.4603543809544663e+18,177.98096489388826,1375477351.321907
2.460354380933923e+18,178.59308253101338,1396091628.9044197
2.460354380913308e+18,179.20713266104795,1416776783.8112426
2.460354380892623e+18,179.8231201479807,1437533039.663651
2.4603543808718664e+18,180.44104985815966,1458360620.644623
2.4603543808510387e+18,181.060926660207,1479259751.4991024
2.46035438083014e+18,181.68275542756763,1500230657.5345545
2.460354380809169e+18,182.3065410331799,1521273564.6209087
2.460354380788126e+18,182.93228835730173,1542388699.1914027
2.460354380767011e+18,183.56000227686513,1563576288.2421985
2.460354380745823e+18,184.1896876733098,1584836559.3329031
2.460354380724563e+18,184.8213494352194,1606169740.587393
2.4603543807032294e+18,185.4549924448755,1627576060.6930869
2.4603543806818227e+18,186.09062159152242,1649055748.9017487
2.460354380660343e+18,186.72824176865942,1670609035.0299795
2.460354380638789e+18,187.36785787127752,1692236149.4593894
2.4603543806171617e+18,188.00947479304,1713937323.1364446
2.4603543805954606e+18,188.65309743982147,1735712787.5738757
2.460354380573685e+18,189.2987307078384,1757562774.8495646
2.460354380551835e+18,189.94637949989462,1779487517.6073036
2.4603543805299103e+18,190.59604871985124,1801487249.0569181
2.4603543805079107e+18,191.24774327530346,1823562202.974697
2.460354380485836e+18,191.90146807196462,1845712613.7031765
2.460354380463685e+18,192.55722801631325,1867938716.1512272
2.460354380441459e+18,193.2150280210983,1890240745.7947786
2.4603543804191575e+18,193.87487299971176,1912618938.6768932
2.460354380396779e+18,194.53676785762477,1935073531.4068525
2.4603543803743247e+18,195.20071751478955,1957604761.1618278
2.460354380351793e+18,195.8667268802133,1980212865.6856172
2.4603543803291853e+18,196.53480087161424,2002898083.2896516
2.4603543803064996e+18,197.20494440116377,2025660652.8523536
2.460354380283737e+18,197.87716239250327,2048500813.820462
2.4603543802608973e+18,198.55145976355755,2071418806.2083716
2.460354380237979e+18,199.2278414263318,2094414870.5974503
2.4603543802149827e+18,199.90631229830345,2117489248.1366704
2.4603543801919084e+18,200.5868773024131,2140642180.5432394
2.460354380168755e+18,201.26954135537963,2163873910.101882
2.460354380145523e+18,201.95430937627947,2187184679.6651115
2.4603543801222124e+18,202.6411862835475,2210574732.6531568
2.460354380098822e+18,203.33017699781587,2234044313.054215
2.4603543800753526e+18,204.02128643593502,2257593665.4240155
2.4603543800518036e+18,204.71451952268745,2281223034.886736
2.4603543800281743e+18,205.40988117295217,2304932667.1338577
2.4603543800044646e+18,206.10737630339642,2328722808.4243736
2.4603543799806746e+18,206.80700982941264,2352593705.584641
2.4603543799568036e+18,207.50878666801262,2376545606.008567
2.4603543799328517e+18,208.21271173172323,2400578757.657092
2.4603543799088184e+18,208.9187899375082,2424693409.0587025
2.460354379884704e+18,209.62702619763243,2448889809.308887
2.460354379860507e+18,210.3374254225429,2473168208.0699277
2.4603543798362286e+18,211.04999252074936,2497528855.5706754
2.460354379811868e+18,211.7647324079175,2521972002.607377
2.4603543797874253e+18,212.4816499914961,2546497900.542726
2.4603543797628995e+18,213.2007501735835,2571106801.305246
2.4603543797382907e+18,213.92203786006007,2595798957.389725
2.4603543797135985e+18,214.64551795123063,2620574621.8565755
2.460354379688823e+18,215.37119534789437,2645434048.3318877
2.4603543796639636e+18,216.09907495127254,2670377491.0074806
2.4603543796390205e+18,216.829161656646,2695405204.640216
2.460354379613993e+18,217.56146035633083,2720517444.551655
2.460354379588881e+18,218.29597593955057,2745714466.6277027
2.460354379563684e+18,219.03271329548406,2770996527.318603
2.460354379538402e+18,219.77167730681472,2796363883.638187
2.460354379513035e+18,220.51287286233884,2821816793.1645803
2.4603543794875817e+18,221.25630483453367,2847355514.038319
2.4603543794620426e+18,222.0019780985277,2872980304.9626555
2.460354379436418e+18,222.74989753207552,2898691425.203861
2.460354379410707e+18,223.5000680025667,2924489134.590031
2.4603543793849093e+18,224.25249437653946,2950373693.5109854
2.4603543793590246e+18,225.00718151633603,2976345362.9177837
2.460354379333053e+18,225.76413427996613,3002404404.3222275
2.460354379306994e+18,226.5233575242547,3028551079.7967205
2.4603543792808474e+18,227.2848560981659,3054785651.9733634
2.4603543792546125e+18,228.04863484260855,3081108384.0430236
2.4603543792282895e+18,228.8146986035143,3107519539.7559147
2.460354379201878e+18,229.58305221521456,3134019383.4202576
2.4603543791753784e+18,230.3537005168914,3160608179.90284
2.46035437914879e+18,231.1266483358418,3187286194.627646
2.460354379122112e+18,231.9019004973119,3214053693.5756173
2.4603543790953446e+18,232.67946181765922,3240910943.2836285
2.4603543790684877e+18,233.45933711092204,3267858210.8442197
2.4603543790415406e+18,234.24153118193476,3294895763.904533
2.4603543790145034e+18,235.02604883634928,3322023870.666408
2.4603543789873756e+18,235.81289487033985,3349242799.8852873
2.4603543789601567e+18,236.60207407039655,3376552820.8690977
2.4603543789328466e+18,237.39359122000323,3403954203.4779058
