Suscetiveis,Infectados,Recuperados
3.9152068965884536e+16,1.1170227763219898,0
3.915206895929188e+16,1.4063752659645548,8300417.955067939
3.915206895099146e+16,1.7689216143222002,18740582.172943063
3.91520689405513e+16,2.222144039657428,31855662.288398243
3.9152068927436216e+16,2.78709511842874,48305080.10976596
3.91520689109868e+16,3.4887665369735332,68895758.22061461
3.915206889039612e+16,4.356259869188219,94606376.51021636
3.91520688646855e+16,5.4225744830287015,126610376.92951772
3.91520688326815e+16,6.723738003505434,166293836.24518785
3.915206879299804e+16,8.296897668453763,215262073.98745388
3.91520687440298e+16,10.17688555343096,275325988.3769287
3.915206868396588e+16,12.390713322195122,348455900.30346566
3.915206861083596e+16,14.949530688444174,436687936.19688463
3.915206852260392e+16,17.83793440224887,541967312.6030126
3.915206841732454e+16,21.00131272446483,665916927.9274747
3.915206829337493e+16,24.333278359707236,809531783.4291148
3.915206814976007e+16,27.667079475778827,972822712.1042172
3.9152067986469144e+16,30.77659581837737,1154465986.6334543
3.9152067804825864e+16,33.392870934726055,1351550500.408494
3.915206760774135e+16,35.23946367384075,1559533592.890358
3.9152067399758264e+16,36.08332616060044,1772497156.4500496
3.9152067186794696e+16,35.78900324203133,1983723627.9995205
3.915206697556822e+16,34.35750843998585,2186501426.250307
3.9152066772790424e+16,31.93303674107041,2374970007.816008
3.915206658432185e+16,28.77240813278658,2544784579.2576704
3.915206641450728e+16,25.188070242308154,2693444411.062503
3.915206626584745e+16,21.485793926170768,2820253431.385655
3.915206613903843e+16,17.9169780813706,2925999323.087732
3.915206603329254e+16,14.655337511879884,3012495032.7074246
3.915206594679684e+16,11.79636373350651,3082117097.1078215
3.9152065877174776e+16,9.371315354824945,3137426541.2627883
3.9152065821865336e+16,7.366663856379289,3180904544.909634
3.9152065778387336e+16,5.742552599940953,3214797054.1580677
3.915206574449483e+16,4.447165878702483,3241044199.1428246
3.915206571824769e+16,3.426392548826483,3261266746.368785
3.9152065698025144e+16,2.6294756390454963,3276785895.016339
3.915206568250599e+16,2.011755681546126,3288659264.3683395
3.915206567063262e+16,1.5355505756561352,3297722074.1869903
3.915206566156981e+16,1.1699707181101622,3304627233.990725
3.915206565466466e+16,0.8902093095928748,3309881243.724781
3.915206564941065e+16,0.6766389114114384,3313874762.3149457
3.915206564541713e+16,0.5138989158731908,3316907790.4772253
3.9152065642384104e+16,0.39006493261844266,3319209951.2508845
3.9152065640081944e+16,0.2959357984708144,3320956562.4681187
3.915206563833533e+16,0.22444366654269124,3322281227.573342
3.9152065637010664e+16,0.17017777617820026,3323285615.735682
3.915206563600628e+16,0.12900650282596557,3324047011.302208
3.915206563524489e+16,0.0977810283076322,3324624114.3149467
3.9152065634667784e+16,0.07410504035843597,3325061481.796044
3.915206563423042e+16,0.05615689832940479,3325392919.456016
3.915206563389898e+16,0.04255296663556893,3325644066.79688
3.915206563364783e+16,0.032242957738216345,3325834364.530217
3.915206563345753e+16,0.024429999730926674,3325978550.234642
3.915206563331334e+16,0.018509709056755114,3326087794.4208245
3.9152065633204104e+16,0.014023818526336483,3326170562.9093723
3.9152065633121336e+16,0.010624923748688194,3326233271.142366
3.915206563305863e+16,0.008049704575741065,3326280780.4480333
3.915206563301112e+16,0.006098597293730075,3326316774.33082
3.915206563297513e+16,0.004620371124689725,3326344043.7320747
3.915206563294786e+16,0.003500430093483041,3326364703.2484226
3.91520656329272e+16,0.002651942918566233,3326380354.998812
3.915206563291155e+16,0.0020091186387631386,3326392212.804354
3.91520656328997e+16,0.001522109753569669,3326401196.2865257
3.915206563289071e+16,0.001153149403976798,3326408002.1670394
3.91520656328839e+16,0.0008736240887758452,3326413158.2909045
3.915206563287875e+16,0.0006618554919004852,3326417064.557846
3.915206563287485e+16,0.0005014197266915163,3326420023.9339123
3.9152065632871896e+16,0.000379873851095974,3326422265.946987
3.9152065632869656e+16,0.0002877909876109515,3326423964.487582
3.915206563286796e+16,0.00021802928633677792,3326425251.295056
3.915206563286667e+16,0.0001651780616262199,3326426226.1749344
3.91520656328657e+16,0.000125138174027776,3326426964.739649
3.915206563286496e+16,9.480411705266451e-05,3326427524.27295
3.91520656328644e+16,7.182316415887376e-05,3326427948.1728125
3.9152065632863976e+16,5.4412895057748757e-05,3326428269.317376
3.9152065632863656e+16,4.122295354116588e-05,3326428512.6149883
3.9152065632863416e+16,3.1230314347033284e-05,3326428696.9361067
3.915206563286323e+16,2.3659937380998633e-05,3326428836.576908
3.9152065632863096e+16,1.792465536890797e-05,3326428942.368111
3.915206563286299e+16,1.3579632870780812e-05,3326429022.515019
3.915206563286291e+16,1.0287864517498421e-05,3326429083.2339306
3.915206563286285e+16,7.794036557279123e-06,3326429129.2342854
3.915206563286281e+16,5.90472446737026e-06,3326429164.083932
3.9152065632862776e+16,4.4733907218710285e-06,3326429190.4858556
3.915206563286275e+16,3.38901917654317e-06,3326429210.4878254
3.915206563286274e+16,2.567504528604151e-06,3326429225.641221
3.915206563286272e+16,1.945129001872255e-06,3326429237.1213603
3.915206563286271e+16,1.4736203138579712e-06,3326429245.818658
3.91520656328627e+16,1.116407612032731e-06,3326429252.4076886
3.9152065632862696e+16,8.457849983144132e-07,3326429257.3995066
3.915206563286269e+16,6.407626164352473e-07,3326429261.1812835
3.915206563286269e+16,4.854386533684009e-07,3326429264.0463395
3.915206563286269e+16,3.6776597157793186e-07,3326429266.216892
3.915206563286269e+16,2.786177180415363e-07,3326429267.861292
3.915206563286269e+16,2.1107943313407723e-07,3326429269.1070814
3.915206563286269e+16,1.599127557478638e-07,3326429270.0508857
3.915206563286269e+16,1.211491288904145e-07,3326429270.7659073
3.915206563286269e+16,9.178199301403965e-08,3326429271.307604
3.915206563286269e+16,6.953359317382377e-08,3326429271.717991
3.915206563286269e+16,5.267831326045891e-08,3326429272.028898
3.915206563286269e+16,3.9908834871080765e-08,3326429272.2644396
