,Unnamed: 0,dep,jour,incid_hosp,incid_rea,incid_dc,incid_rad,day,Estimativa
0,0,1,2020-03-19,1,0,0,0,0,1.1170227763219898
1,1,1,2020-03-20,0,0,0,1,1,1.4487480183679675
2,2,1,2020-03-21,3,0,0,0,2,1.8789865929466947
3,3,1,2020-03-22,3,1,0,1,3,2.436994267954672
4,4,1,2020-03-23,14,1,0,5,4,3.160714974943098
5,5,1,2020-03-24,11,1,0,4,5,4.099360956320215
6,6,1,2020-03-25,13,2,0,5,6,5.316759145770529
7,7,1,2020-03-26,14,3,2,2,7,6.8956913322190685
8,8,1,2020-03-27,14,2,0,0,8,8.94352323389852
9,9,1,2020-03-28,7,3,1,3,9,11.59950525360052
10,10,1,2020-03-29,11,3,3,3,10,15.044241358744236
11,11,1,2020-03-30,20,7,4,1,11,19.51196996008922
12,12,1,2020-03-31,20,0,1,9,12,25.30649187585244
13,13,1,2020-04-01,38,14,2,10,13,32.82182846593812
